Date,Booking_status,level_3,level_4,level_5,level_6,JourneyDate,BookingStatus,TrainNo,ClassOfTravel,ChartingStatus
2017-05-13,W/L,0,"11,TQ	*12864	",SL	W/L,0,0,0,4.0,0,0.0
2017-05-13,W/L,0,0,"2,TQ	*12864	",3A	B1,0,",",51.0,0,0.0
2017-08-27,TQWL,115	12864	SL	WL,0,0,0,0,0,0.0,0,0.0
2017-08-27,TQWL,7	12864	3A	CNF,B2,54,0,0,0,0.0,0,0.0
2017-08-28,TQWL,4	12864	SL	WL,0,0,0,0,0,0.0,0,0.0
2017-08-27,TQWL,4	12864	3A	CNF,B2,51,0,0,0,0.0,0,0.0
2017-08-27,TQWL,27	12864	SL	TQWL,0,2,0,0,0,0.0,0,0.0
2017-08-27,TQWL,80	12864	SL	TQWL,0,39,0,0,0,0.0,0,0.0
2017-08-27,TQWL,58	12864	SL	WL,0,0,0,0,0,0.0,0,0.0
2017-08-28,TQWL,13	12864	3A	WL,0,0,0,0,0,0.0,0,0.0
2017-08-28,TQWL,10	12864	SL	CNF,S7,24,0,0,0,0.0,0,0.0
2017-08-28,TQWL,14	12864	SL	WL,0,0,0,0,0,0.0,0,0.0
2017-08-28,TQWL,42	12864	SL	TQWL,0,15,0,0,0,0.0,0,0.0
2017-08-29,TQWL,5	12864	SL	WL,0,0,0,0,0,0.0,0,0.0
